"ecoevo_names","carnegie_names","checked"
"Atlanta Botanical Garden",NA,"N"
"College of The Holy Cross",NA,"N"
"HHMI Janelia",NA,"N"
"Inter-American Tropical Tuna Commission",NA,"N"
"Scripps College (Keck Science Center)",NA,"N"
"University of Florida / Florida Museum of Natural History",NA,"N"
"American Museum of Natural History",NA,"Y"
"Arcadia Science",NA,"Y"
"Arizona State University","Arizona State University Campus Immersion","Y"
"Arkansas State University","Arkansas State University","Y"
"Arkansas State University-Jonesboro","Arkansas State University","Y"
"Arnold Arboretum of Harvard University","Harvard University","Y"
"Ball State","Ball State University","Y"
"Baruch College",NA,"Y"
"Bell Museum, University of Minnesota","University of Minnesota-Twin Cities","Y"
"Bigelow Laboratory for Ocean Sciences",NA,"Y"
"Binghamton University - SUNY","Binghamton University","Y"
"Binghamton University SUNY","Binghamton University","Y"
"Black Rock Forest",NA,"Y"
"Brigham and Women’s Hospital",NA,"Y"
"Brooklyn College","CUNY Brooklyn College","Y"
"Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville","Texas A & M University-Kingsville","Y"
"Cal Poly Humboldt","California State Polytechnic University-Humboldt","Y"
"Cal Poly Pomona","California State Polytechnic University-Pomona","Y"
"Cal Poly San Luis Obispo","California Polytechnic State University-San Luis Obispo","Y"
"Cal Poly, San luis Obispo","California Polytechnic State University-San Luis Obispo","Y"
"Cal State Dominguez Hills","California State University-Dominguez Hills","Y"
"Cal State San Marcos","California State University-San Marcos","Y"
"Cal State, Long Beach","California State University-Long Beach","Y"
"California Department of Fish and Wildlife",NA,"Y"
"California Dept of Fish & Wildlife",NA,"Y"
"California State - Fresno","California State University-Fresno","Y"
"California State Polytechnic University, Humboldt","California State Polytechnic University-Humboldt","Y"
"Caltech","California Institute of Technology","Y"
"Carnegie Institution for Science",NA,"Y"
"Carnegie Institution for Science",NA,"Y"
"Carnegie Institution-Stanford",NA,"Y"
"Cary Institute",NA,"Y"
"CDC Center for Forecasting and Outbreak Analytics",NA,"Y"
"Chicago Botanic Garden",NA,"Y"
"Chicago Botanical Garden",NA,"Y"
"Cleveland Museum of Natural History",NA,"Y"
"Colorado State University","Colorado State University-Fort Collins","Y"
"Columbia University","Columbia University in the City of New York","Y"
"Connecticut Agricultural Experiment Station",NA,"Y"
"Conservation Science Partners",NA,"Y"
"Cornell Lab of Ornithology","Cornell University","Y"
"Cornell Lab of Ornithology, Cornell University","Cornell University","Y"
"Cornell University - New York Invasive Species Research Institute",NA,"Y"
"CUNY (Brooklyn)","CUNY Brooklyn College","Y"
"Delaware Museum of Nature and Science",NA,"Y"
"Duke Unvirsity","Duke University","Y"
"Earth Lab, CIRES, University of Colorado","University of Colorado Boulder","Y"
"Earth Lab, CIRES, University of Colorado Boulder","University of Colorado Boulder","Y"
"EcoHealth Alliance",NA,"Y"
"Environmental Markets Lab at UC Santa Barbara","University of California-Santa Barbara","Y"
"EPA",NA,"Y"
"EPA/ORD",NA,"Y"
"Fairleigh Dickinson University","Fairleigh Dickinson University-Metropolitan Campus","Y"
"Field Museum of Natural History",NA,"Y"
"Field Musuem of Natural History",NA,"Y"
"Flathead Lake Bio Station, U of Montana","The University of Montana","Y"
"Fort Worth Botanic Garden",NA,"Y"
"Funga",NA,"Y"
"Georgia Institute of Technology","Georgia Institute of Technology-Main Campus","Y"
"Georgia Tech","Georgia Institute of Technology-Main Campus","Y"
"Harvard Chan School of Public Health","Harvard University","Y"
"Harvard Forest","Harvard University","Y"
"Harvard T.H. Chan School of Public Health","Harvard University","Y"
"Hawaii Institute of Marine Biology at UH Manoa","University of Hawaii at Manoa","Y"
"Hobart & William Smith Colleges","Hobart William Smith Colleges","Y"
"Hubbs-SeaWorld Research Institute",NA,"Y"
"HudsonAlpha Institute for Biotechnology",NA,"Y"
"Hunter College","CUNY Hunter College","Y"
"Hunter College, City University of New York","CUNY Hunter College","Y"
"Indiana University","Indiana University-Bloomington","Y"
"Iowa State","Iowa State University","Y"
"Jackson Lab",NA,"Y"
"Kachemak Bay National Estuarine Research Reserve (U Alaska)",NA,"Y"
"Kennesaw State Universty","Kennesaw State University","Y"
"Kent State University","Kent State University at Kent","Y"
"La Brea Tar Pits",NA,"Y"
"Lamont-Doherty Earth Observatory of Columbia University","Columbia University in the City of New York","Y"
"LaSalle University","La Salle University","Y"
"Louisiana State University","Louisiana State University and Agricultural & Mechanical College","Y"
"LSU AgCenter","Louisiana State University and Agricultural & Mechanical College","Y"
"Marian University Indianapolis","Marian University","Y"
"Marine Biological Laboratory (MBL)",NA,"Y"
"Massachusetts College of Art & Design",NA,"Y"
"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology","Y"
"Miami University","Miami University-Oxford","Y"
"Michigan State U","Michigan State University","Y"
"Missouri Botanical Garden",NA,"Y"
"Moss Landing Marine Labs/San Jose State University","San Jose State University","Y"
"Museum of Comparative Zoology, Harvard","Harvard University","Y"
"National Institute of Environmental Health Sciences (NIEHS/NIH)",NA,"Y"
"National Park Service",NA,"Y"
"National Park Service / University of Nebraska",NA,"Y"
"National Science Foundation",NA,"Y"
"Natural History Museum of Los Angeles County",NA,"Y"
"Natural History Museum of Los Angeles County (LACM)",NA,"Y"
"NatureServe",NA,"Y"
"Nazareth College of Rochester",NA,"Y"
"New Mexico State University","New Mexico State University-Main Campus","Y"
"New York Botanical Garden",NA,"Y"
"New York University (NYU)","New York University","Y"
"NIH",NA,"Y"
"NOAA",NA,"Y"
"NOAA NCCOS",NA,"Y"
"NOAA/CSS",NA,"Y"
"North Carolina Museum of Natural Sciences",NA,"Y"
"North Carolina State University","North Carolina State University at Raleigh","Y"
"Northwestern State University","Northwestern State University of Louisiana","Y"
"Oak Ridge National Lab",NA,"Y"
"Oak Ridge National Laboratory",NA,"Y"
"Ohio State University","Ohio State University-Main Campus","Y"
"Ohio University","Ohio University-Main Campus","Y"
"Oklahoma State","Oklahoma State University-Main Campus","Y"
"Oklahoma State University","Oklahoma State University-Main Campus","Y"
"Oregon State University - Cascades",NA,"Y"
"Oregon State University / NOAA","Oregon State University","Y"
"Oregon State University-Cascades",NA,"Y"
"Oxford College of Emory University","Emory University","Y"
"Pacific Northwest National Laboratory",NA,"Y"
"Pacific Northwest Research Institute (PNRI)",NA,"Y"
"Pacific States Marine Fisheries Commission",NA,"Y"
"Penn State","The Pennsylvania State University","Y"
"Penn State","The Pennsylvania State University","Y"
"Penn State Harrisburg",NA,"Y"
"Penn State University","The Pennsylvania State University","Y"
"Piedmont University",NA,"Y"
"Purdue University","Purdue University-Main Campus","Y"
"Reef Environmental Education Foundation",NA,"Y"
"Rocky Mountain Research Station (USFS)",NA,"Y"
"Rocky Mountain Research Station (USFS)",NA,"Y"
"Rutgers University","Rutgers University-New Brunswick","Y"
"San Diego Natural History Museum",NA,"Y"
"San Jose State University / Moss Landing Marine Labs","San Jose State University","Y"
"Savannah River Ecology Lab, University of Georgia","University of Georgia","Y"
"Scripps & Pitzer Colleges","Scripps College","Y"
"Scripps Institution of Oceanography","University of California-San Diego","Y"
"Scripps Institution of Oceanography / UCSD","University of California-San Diego","Y"
"Shoals Marine Lab","University of New Hampshire-Main Campus","Y"
"Smithsonian",NA,"Y"
"Smithsonian Conservation Biology Institute & International Fund for Houbara Conservation",NA,"Y"
"Smithsonian Environmental Research Center",NA,"Y"
"Smithsonian Institution",NA,"Y"
"Smithsonian Migratory Bird Center",NA,"Y"
"Smithsonian National Museum of Natural History",NA,"Y"
"Southern Illinois University","Southern Illinois University-Carbondale","Y"
"St. John Fisher College","Saint John Fisher University","Y"
"State University of New York at Geneseo","SUNY College at Geneseo","Y"
"Stephen F. Austin State University",NA,"Y"
"Sul Ross University",NA,"Y"
"SUNY ESF","SUNY College of Environmental Science and Forestry","Y"
"SUNY Geneseo","SUNY College at Geneseo","Y"
"SUNY New Paltz",NA,"Y"
"SUNY Oswego","SUNY College at Oswego","Y"
"SUNY Plattsburgh","SUNY College at Plattsburgh","Y"
"Texas A&M AgriLife Research & Extension - San Angelo",NA,"Y"
"Texas A&M Dept of Biol","Texas A & M University-College Station","Y"
"Texas A&M University","Texas A & M University-College Station","Y"
"Texas A&M University - Corpus Christi","Texas A & M University-Corpus Christi","Y"
"Texas A&M University (Galveston campus)",NA,"Y"
"Texas A&M University at Galveston",NA,"Y"
"Texas A&M University- Corpus Christi","Texas A & M University-Corpus Christi","Y"
"Texas A&M University–Kingsville","Texas A & M University-Kingsville","Y"
"The Citadel",NA,"Y"
"The Connecticut Agricultural Experiment Station",NA,"Y"
"The Land Institute",NA,"Y"
"The Morton Arboretum",NA,"Y"
"The Nature Conservancy",NA,"Y"
"The Ohio State University","Ohio State University-Main Campus","Y"
"The University of Texas at Austin Marine Science Institute","The University of Texas at Austin","Y"
"The Water Institute of the Gulf",NA,"Y"
"Tufts Unviersity","Tufts University","Y"
"U.S. Department of Agriculture",NA,"Y"
"U.S. Department of Energy, Office of Science",NA,"Y"
"UC Berkeley","University of California-Berkeley","Y"
"UC Davis","University of California-Davis","Y"
"UC Irvine","University of California-Irvine","Y"
"UC Merced","University of California-Merced","Y"
"UC San Diego","University of California-San Diego","Y"
"UC Santa Barbara","University of California-Santa Barbara","Y"
"UCLA","University of California-Los Angeles","Y"
"UCSB","University of California-Santa Barbara","Y"
"UMass Amherst","University of Massachusetts-Amherst","Y"
"UNC Pembroke","University of North Carolina at Pembroke","Y"
"UNCC","University of North Carolina at Charlotte","Y"
"United States Department of Agriculture",NA,"Y"
"University at Albany",NA,"Y"
"University of Akron","University of Akron Main Campus","Y"
"University of Alaska Kenai Peninsula",NA,"Y"
"University of Alaska Museum",NA,"Y"
"University of Arizona, Bridging Biodiversity and Conservation Science (BBCS)","University of Arizona","Y"
"University of Calfornia, San Diego","University of California-San Diego","Y"
"University of California",NA,"Y"
"University of Chicago & MBL","University of Chicago","Y"
"University of Cincinnati Blue Ash",NA,"Y"
"University of Colorado Boulder: Department of Ecology & Evolutionary Biology","University of Colorado Boulder","Y"
"University of Connecticut  - Avery Point",NA,"Y"
"University of Connecticut - Avery Point",NA,"Y"
"University of Connecticut, Storrs","University of Connecticut","Y"
"University of Florida in Gainesville","University of Florida","Y"
"University of Florida- WFREC",NA,"Y"
"University of Georgia Marine Institute",NA,"Y"
"University of Hawai‘i at Manoa (UHM)","University of Hawaii at Manoa","Y"
"University of Illinois","University of Illinois Urbana-Champaign","Y"
"University of Illinois, Illinois Natural History Survey","University of Illinois Urbana-Champaign","Y"
"University of Indiana Bloomington","Indiana University-Bloomington","Y"
"University of Kansas Biodiversity Institute","University of Kansas","Y"
"University of Maryland","University of Maryland-College Park","Y"
"University of Maryland Center for Env. Science","University of Maryland-College Park","Y"
"University of Michigan","University of Michigan-Ann Arbor","Y"
"University of Michigan / CIGLR","University of Michigan-Ann Arbor","Y"
"University of Minnesota","University of Minnesota-Twin Cities","Y"
"University of Minnesota (Twin Cities)","University of Minnesota-Twin Cities","Y"
"University of MIssouri Columbia","University of Missouri-Columbia","Y"
"University of Montana and Rocky Mountain Research Station","The University of Montana","Y"
"University of New Hampshire","University of New Hampshire-Main Campus","Y"
"University of New Mexico","University of New Mexico-Main Campus","Y"
"University of Oklahoma","University of Oklahoma-Norman Campus","Y"
"University of Pittsburgh","University of Pittsburgh-Pittsburgh Campus","Y"
"University of South Carolina","University of South Carolina-Columbia","Y"
"University of Southern California (USC)","University of Southern California","Y"
"University of Tennessee","The University of Tennessee-Knoxville","Y"
"University of Tennessee","The University of Tennessee-Knoxville","Y"
"University of Tennessee - EEB / NIMBioS","The University of Tennessee-Knoxville","Y"
"University of Tennessee Institute of Agriculture","The University of Tennessee-Knoxville","Y"
"University of Tennessee Microbiology","The University of Tennessee-Knoxville","Y"
"University of Texas at Austin Marine Science Institute","The University of Texas at Austin","Y"
"University of the South",NA,"Y"
"University of Virginia","University of Virginia-Main Campus","Y"
"University of Virginia at Wise",NA,"Y"
"University of Washington","University of Washington-Seattle Campus","Y"
"University of Washington (Friday Harbor Lab)","University of Washington-Seattle Campus","Y"
"University of Washington and Burke Museum","University of Washington-Seattle Campus","Y"
"University of Washington Cooperative Institute for Climate, Ocean, and Ecosystem Studies","University of Washington-Seattle Campus","Y"
"University of Washington Tacoma","University of Washington-Tacoma Campus","Y"
"University of Wisconsin","University of Wisconsin-Madison","Y"
"University of Wisconsin (multi-university / US Forest Service collaboration)","University of Wisconsin-Madison","Y"
"US Airforce Academy",NA,"Y"
"US Environmental Protection Agency",NA,"Y"
"US EPA",NA,"Y"
"US Forest Service",NA,"Y"
"USDA",NA,"Y"
"USDA Agricultural Research Service",NA,"Y"
"USDA Agricultural Research Service Northern Great Plains Research Laboratory",NA,"Y"
"USDA ARS",NA,"Y"
"USDA Forest Service",NA,"Y"
"USDA Forest Service Rocky Mountain Research Station",NA,"Y"
"USDA-Agricultural Research Service",NA,"Y"
"USDA-ARS",NA,"Y"
"USDA-ARS - MaizeGDB",NA,"Y"
"USDA-ARS Jornada Experimental Range",NA,"Y"
"USDA-ARS Plant Genetics Research Unit",NA,"Y"
"USDA-ARS Sunflower and Plant Biology Research Unit",NA,"Y"
"USDA-ARS Tropical Pest Genetics and Molecular Biology",NA,"Y"
"USDA-ARS/University of Delaware",NA,"Y"
"USEPA Center for Computational Toxicology and Exposure (CCTE)",NA,"Y"
"USFS Rocky Mountain Research Station",NA,"Y"
"USFWS",NA,"Y"
"USFWS - Fish and Aquatic Conservation",NA,"Y"
"USGS",NA,"Y"
"USGS - Northern Rocky Mountain Science Center",NA,"Y"
"USGS / Colorado State University",NA,"Y"
"USGS / Michigan State University","Michigan State University","Y"
"USGS / University of Alaska - Fairbanks",NA,"Y"
"USGS / University of Nebraska-Lincoln",NA,"Y"
"USGS / University of Wisconsin-Madison",NA,"Y"
"USGS Eastern Ecological Science Center",NA,"Y"
"Vantuna Research Group, Occidental College","Occidental College","Y"
"Vesta, PBC",NA,"Y"
"Virginia Institute of Marine Science (William and Mary)",NA,"Y"
"Virginia Museum of Natural History",NA,"Y"
"Virginia Tech","Virginia Polytechnic Institute and State University","Y"
"WA State Fish & Wildlife",NA,"Y"
"Washington & Lee University","Washington and Lee University","Y"
"Washington State University - Vancouver","Washington State University","Y"
"West Chester University","West Chester University of Pennsylvania","Y"
"West Texas A&M",NA,"Y"
"West Texas A&M University",NA,"Y"
"Western Colorado University",NA,"Y"
"Wheaton College (MA)","Wheaton College","Y"
"William & Mary / VIMS Eastern Shore Laboratory",NA,"Y"
"Wittenberg College",NA,"Y"
"Woods Hole Oceanographic Institution",NA,"Y"
"Yale University School of the Environment","Yale University","Y"
